id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/130034/,241,4-3-3 False 9,85,86,84,84,€77M,€0,Balanced,Little,Short,Free form,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,26.45,26.04
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/130034/,243,4-2-3-1 Wide,84,84,85,82,€98.4M,€0,Balanced,Little,Mixed,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Cover,20,20,26,25.64,25.46
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/130034/,21,4-2-3-1 Wide,83,83,84,82,€54M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,19,28,25.45,24.54
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/130034/,10,4-2-3-1 Wide,82,85,83,80,€105M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,18,19,33,25.82,24.00
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/130034/,11,4-4-1-1 Attack,82,86,81,82,€30M,€0,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,26.45,23.79
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/130034/,45,3-1-4-2,82,81,81,83,€30M,€0,Balanced,Little,Short,Organised,Normal,Normal,Lots,Free form,Double,Medium,Normal,Cover,20,19,27,28.09,26.85
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/130034/,5,4-2-3-1 Wide,81,82,80,81,€50M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,26.45,24.30
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/130034/,1,4-2-3-1 Wide,80,80,79,80,€24M,€0,Slow,Little,Short,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,25.73,23.27
18,Tottenham Hotspur,England,Premier League,https://sofifa.com/team/18/tottenham-hotspur/130034/,18,4-4-1-1 Attack,80,82,78,79,€22M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,17,17,33,24.73,23.33
22,Borussia Dortmund,Germany,Bundesliga,https://sofifa.com/team/22/borussia-dortmund/130034/,22,4-2-3-1 Wide,80,80,80,80,€17.5M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Lots,Organised,Double,Medium,Normal,Cover,19,17,33,24.00,22.76
44,Inter,Italy,Serie A,https://sofifa.com/team/44/inter/130034/,44,3-4-1-2,80,79,78,80,€35M,€0,Fast,Little,Long,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,20,20,29,26.36,27.00
47,AC Milan,Italy,Serie A,https://sofifa.com/team/47/ac-milan/130034/,47,4-3-3 Flat,80,80,80,79,€20M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,29,24.73,25.86
