id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/140052/,21,4-1-4-1,84,82,83,83,€55M,€0,Balanced,Normal,Short,Free form,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,20,20,31,25.09,23.29
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/140052/,241,4-3-3 False 9,84,84,86,84,€70M,€0,Balanced,Normal,Short,Free form,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,27.55,25.79
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/140052/,243,4-3-3 Holding,84,88,83,82,€95M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Cover,20,20,23,26.27,25.17
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/140052/,5,4-2-3-1 Wide,82,81,82,81,€55M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,20,33,26.18,24.03
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/140052/,10,4-4-2 Flat,82,84,83,81,€90M,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Organised,Press,Medium,Normal,Cover,18,19,33,27.55,24.42
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/140052/,11,4-2-3-1 Wide,82,85,79,80,€39M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,27.18,24.00
22,Borussia Dortmund,Germany,Bundesliga,https://sofifa.com/team/22/borussia-dortmund/140052/,22,4-2-3-1 Wide,81,82,81,79,€25M,€0,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Free form,Double,Medium,Normal,Cover,19,18,33,25.45,23.70
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/140052/,45,3-1-4-2,81,80,81,81,€37M,€0,Slow,Normal,Short,Organised,Normal,Normal,Lots,Organised,Double,Deep,Normal,Cover,20,19,33,28.27,25.42
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/140052/,73,4-3-3 Holding,81,83,80,80,€120M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,19,17,27,27.45,24.89
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/140052/,240,4-4-2 Holding,81,81,80,81,€30M,€0,Balanced,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,18,18,33,26.73,24.09
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/140052/,1,4-2-3-1 Wide,80,79,81,80,€30M,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,26.36,24.00
9,Liverpool,England,Premier League,https://sofifa.com/team/9/liverpool/140052/,9,4-1-2-1-2 Narrow,80,76,79,78,€21M,€0,Fast,Normal,Short,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,24.55,22.85
18,Tottenham Hotspur,England,Premier League,https://sofifa.com/team/18/tottenham-hotspur/140052/,18,4-4-2 Flat,80,77,80,78,€28M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,24.45,23.39
52,Roma,Italy,Serie A,https://sofifa.com/team/52/roma/140052/,52,4-3-3 False 9,79,79,80,77,€26M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,17,18,32,27.00,23.81
7,Everton,England,Premier League,https://sofifa.com/team/7/everton/140052/,7,4-2-3-1 Wide,78,78,78,78,€13M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,16,33,27.27,24.06
110374,Fiorentina,Italy,Serie A,https://sofifa.com/team/110374/fiorentina/140052/,110374,4-3-3 Holding,78,79,78,76,€20M,€0,Balanced,Normal,Short,Organised,Normal,Risky,Normal,Organised,Press,Medium,Wide,Cover,16,16,33,27.45,25.24
44,Inter,Italy,Serie A,https://sofifa.com/team/44/inter/140052/,44,3-1-4-2,78,78,78,79,€30M,€0,Fast,Normal,Long,Organised,Lots,Risky,Normal,Organised,Press,Deep,Normal,Cover,20,20,31,27.09,25.48
47,AC Milan,Italy,Serie A,https://sofifa.com/team/47/ac-milan/140052/,47,4-2-3-1 Narrow,78,80,79,77,€17M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,20,32,27.18,26.00
48,Napoli,Italy,Serie A,https://sofifa.com/team/48/napoli/140052/,48,4-2-3-1 Narrow,78,81,79,76,€30M,€0,Fast,Lots,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Normal,Cover,16,18,33,25.64,24.45
32,Bayer 04 Leverkusen,Germany,Bundesliga,https://sofifa.com/team/32/bayer-04-leverkusen/140052/,32,4-2-3-1 Wide,77,78,76,75,€12M,€0,Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,16,30,24.73,22.97
34,FC Schalke 04,Germany,Bundesliga,https://sofifa.com/team/34/fc-schalke-04/140052/,34,4-2-3-1 Wide,77,80,77,75,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,17,33,23.82,22.76
46,Lazio,Italy,Serie A,https://sofifa.com/team/46/lazio/140052/,46,4-3-3 Holding,77,79,77,76,€15M,€0,Balanced,Lots,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Normal,Cover,16,17,33,27.82,24.94
69,AS Monaco,France,Ligue 1,https://sofifa.com/team/69/as-monaco/140052/,69,4-3-3 Holding,77,80,79,75,€100M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,12,31,24.82,24.39
175,VfL Wolfsburg,Germany,Bundesliga,https://sofifa.com/team/175/vfl-wolfsburg/140052/,175,4-2-3-1 Wide,77,77,75,76,€20M,€0,Balanced,Lots,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,15,17,29,25.00,23.93
457,Real Sociedad,Spain,La Liga,https://sofifa.com/team/457/real-sociedad/140052/,457,4-3-3 Attack,77,80,76,76,€5.8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,15,33,25.73,23.85
461,Valencia CF,Spain,La Liga,https://sofifa.com/team/461/valencia-cf/140052/,461,4-2-3-1 Wide,77,76,77,76,€20M,€0,Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,25.91,23.24
13,Newcastle United,England,Premier League,https://sofifa.com/team/13/newcastle-united/140052/,13,4-2-3-1 Wide,76,78,75,76,€17M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,16,33,25.73,23.33
573,Málaga CF,Spain,La Liga,https://sofifa.com/team/573/malaga-cf/140052/,573,4-2-3-1 Wide,76,75,73,76,€10M,€0,Balanced,Normal,Mixed,Organised,Lots,Risky,Normal,Organised,Press,Medium,Normal,Cover,10,15,33,27.55,24.15
1960,Swansea City,England,Premier League,https://sofifa.com/team/1960/swansea-city/140052/,1960,4-2-3-1 Wide,76,79,74,75,€8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,10,14,33,25.55,24.15
448,Athletic Club,Spain,La Liga,https://sofifa.com/team/448/athletic-club/140052/,448,4-3-3 Attack,76,77,78,75,€9.5M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,16,33,25.73,23.61
481,Sevilla FC,Spain,La Liga,https://sofifa.com/team/481/sevilla-fc/140052/,481,4-4-2 Holding,76,78,75,75,€18M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,19,31,25.91,23.52
