id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
9,Liverpool,England,Premier League,https://sofifa.com/team/9/liverpool/220069/,9,4-3-3 False 9,85,86,84,85,€95M,€3.5B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,9,33,27.73,24.82
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/220069/,10,4-3-3 False 9,85,84,87,86,€176M,€3.4B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,32,26.09,23.81
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/220069/,73,4-3-3 Flat,85,89,82,84,€160M,€2.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,32,26.18,25.47
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/220069/,5,5-2-1-2,84,84,85,83,€85M,€2.7B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,8,33,27.36,24.39
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/220069/,21,4-2-3-1 Wide,84,92,85,82,€100M,€2.6B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,30,26.82,24.53
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/220069/,243,4-3-3 False 9,84,85,86,83,€150M,€3.1B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,33,27.82,24.55
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/220069/,11,4-3-3 Holding,83,82,83,81,€175M,€3.5B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,8,33,26.18,24.82
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/220069/,240,5-3-2,83,84,82,82,€68.6M,€1.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,9,33,28.36,24.76
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/220069/,241,4-3-3 Holding,83,83,85,81,€130M,€3.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,33,28.09,24.33
44,Inter,Italy,Serie A,https://sofifa.com/team/44/inter/220069/,44,3-1-4-2,82,82,82,83,€99.5M,€983M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,7,24,27.91,28.92
