id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
9,Liverpool,England,Premier League,https://sofifa.com/team/9/liverpool/210064/,9,4-3-3 False 9,85,86,83,80,€90M,€2.7B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,10,33,25.91,24.55
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/210064/,10,4-3-3 Holding,85,85,86,83,€176M,€2.7B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,30,25.27,24.20
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/210064/,243,4-3-3 False 9,85,84,86,84,€188.5M,€3.5B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,33,28.18,24.18
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/210064/,21,4-2-3-1 Wide,84,92,85,82,€100M,€2.9B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,26.18,25.30
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/210064/,73,4-3-3 Attack,84,87,82,82,€130M,€2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,32,27.36,24.84
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/210064/,45,4-4-2 Flat,83,87,81,83,€105M,€1.7B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,26,27.82,26.04
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/210064/,240,4-1-4-1,83,85,82,83,€68.6M,€1.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,9,30,27.55,24.67
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/210064/,241,3-1-4-2,83,84,82,81,€180.5M,€3.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,33,25.45,23.61
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/210064/,5,5-2-3,82,82,84,82,€85M,€2.2B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,7,29,26.00,24.69
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/210064/,11,4-2-3-1 Wide,82,83,82,82,€177M,€3.3B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,7,33,24.45,24.00
18,Tottenham Hotspur,England,Premier League,https://sofifa.com/team/18/tottenham-hotspur/210064/,18,4-2-3-1 Wide,82,89,82,81,€75M,€2.1B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,7,33,26.82,24.42
44,Inter,Italy,Serie A,https://sofifa.com/team/44/inter/210064/,44,3-1-4-2,82,83,81,83,€99.5M,€983M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,7,24,26.00,27.88
22,Borussia Dortmund,Germany,Bundesliga,https://sofifa.com/team/22/borussia-dortmund/210064/,22,4-2-3-1 Wide,81,87,81,81,€60M,€1.3B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,8,32,25.00,23.47
481,Sevilla FC,Spain,La Liga,https://sofifa.com/team/481/sevilla-fc/210064/,481,4-3-3 Holding,81,80,81,82,€34.5M,€540M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,7,28,27.45,26.36
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/210064/,1,4-2-3-1 Wide,80,83,79,79,€80M,€1.8B,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,7,33,24.73,23.55
112172,RB Leipzig,Germany,Bundesliga,https://sofifa.com/team/112172/rb-leipzig/210064/,112172,3-4-2-1,80,78,81,80,€50M,€471.2M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,7,29,24.55,23.10
46,Lazio,Italy,Serie A,https://sofifa.com/team/46/lazio/210064/,46,3-1-4-2,80,82,80,79,€39M,€328M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,6,30,29.91,26.57
48,Napoli,Italy,Serie A,https://sofifa.com/team/48/napoli/210064/,48,4-3-3 Attack,80,82,80,80,€56M,€590M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,9,7,23,26.36,26.35
95,Leicester City,England,Premier League,https://sofifa.com/team/95/leicester-city/210064/,95,5-2-1-2,80,80,81,79,€45M,€552.5M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,6,6,32,25.73,24.41
483,Villarreal CF,Spain,La Liga,https://sofifa.com/team/483/villarreal-cf/210064/,483,4-4-2 Flat,80,82,79,79,€32.9M,€370M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,8,7,33,27.36,25.48
7,Everton,England,Premier League,https://sofifa.com/team/7/everton/210064/,7,4-2-3-1 Wide,79,81,79,80,€51M,€533.3M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,6,5,33,26.82,23.85
23,Borussia Mönchengladbach,Germany,Bundesliga,https://sofifa.com/team/23/borussia-monchengladbach/210064/,23,4-2-3-1 Wide,79,78,79,80,€25M,€357.9M,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,7,5,33,26.45,24.06
