id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/150059/,21,4-3-3 Holding,85,87,85,82,€55M,€0,Balanced,Little,Short,Free form,Little,Normal,Little,Free form,Press,High,Normal,Cover,20,20,31,26.45,24.84
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/150059/,241,4-3-3 Holding,84,88,85,81,€80M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,24,26.45,26.04
243,Real Madrid,Spain,La Liga,https://sofifa.com/team/243/real-madrid/150059/,243,4-3-3 Holding,84,86,83,81,€95M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,26.64,23.55
5,Chelsea,England,Premier League,https://sofifa.com/team/5/chelsea/150059/,5,4-2-3-1 Wide,83,82,82,81,€55M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,33,25.82,22.48
10,Manchester City,England,Premier League,https://sofifa.com/team/10/manchester-city/150059/,10,4-2-3-1 Wide,82,83,82,81,€80M,€0,Balanced,Normal,Short,Free form,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,18,19,33,28.55,24.70
11,Manchester United,England,Premier League,https://sofifa.com/team/11/manchester-united/150059/,11,4-1-4-1,81,85,80,75,€39M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,31,25.55,23.84
22,Borussia Dortmund,Germany,Bundesliga,https://sofifa.com/team/22/borussia-dortmund/150059/,22,4-2-3-1 Wide,81,79,81,81,€30M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Double,Medium,Normal,Cover,19,18,33,26.09,23.61
73,Paris Saint-Germain,France,Ligue 1,https://sofifa.com/team/73/paris-saint-germain/150059/,73,4-3-3 Holding,81,82,81,80,€120M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,18,27,26.82,24.00
1,Arsenal,England,Premier League,https://sofifa.com/team/1/arsenal/150059/,1,4-3-3 Attack,80,80,80,77,€35M,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,18,18,33,25.36,23.30
45,Juventus,Italy,Serie A,https://sofifa.com/team/45/juventus/150059/,45,3-5-2,80,78,78,80,€35M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,19,30,27.55,25.87
240,Atlético Madrid,Spain,La Liga,https://sofifa.com/team/240/atletico-madrid/150059/,240,4-4-2 Flat,80,81,78,79,€35M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,19,33,25.73,24.33
9,Liverpool,England,Premier League,https://sofifa.com/team/9/liverpool/150059/,9,5-2-3,79,79,78,75,€40M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,18,33,23.00,22.91
52,Roma,Italy,Serie A,https://sofifa.com/team/52/roma/150059/,52,4-3-3 Holding,79,78,81,77,€30M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,17,17,32,27.91,25.91
461,Valencia CF,Spain,La Liga,https://sofifa.com/team/461/valencia-cf/150059/,461,4-3-3 Holding,79,81,79,77,€20M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,16,29,25.00,22.66
7,Everton,England,Premier League,https://sofifa.com/team/7/everton/150059/,7,4-2-3-1 Wide,78,78,78,78,€14M,€0,Balanced,Normal,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,16,33,26.36,24.97
